epoch,phase,loss,acc,spec,sens,gmean,mcc,auc,thr_opt,key,key_name,val_thr
17,val,0.24917314175146105,0.9249492900608519,0.9908151549942594,0.4260869565217391,0.6497487313316734,0.5733856339356572,0.9189038087156193,0.5,0.5733856339356572,mcc,0.5
18,train,0.23467344734043477,,,,,,,,,,
18,val,0.25066462169735715,0.9269776876267748,0.9712973593570609,0.591304347826087,0.7578471822338771,0.6178625032769246,0.9174911396196277,0.5,0.6178625032769246,mcc,0.5
19,train,0.2297278510563355,,,,,,,,,,
19,val,0.2514198078163739,0.9290060851926978,0.9885189437428243,0.4782608695652174,0.6875826711139057,0.6037867388231906,0.9186991464084261,0.5,0.6037867388231906,mcc,0.5
20,train,0.23742111953338604,,,,,,,,,,
20,val,0.2723849817929113,0.9279918864097363,0.9678530424799081,0.6260869565217392,0.7784344325160284,0.6315150582967901,0.9148854390256078,0.5,0.6315150582967901,mcc,0.5
21,train,0.21660042467774793,,,,,,,,,,
21,val,0.24733945975197255,0.9269776876267748,0.9735935706084959,0.5739130434782609,0.7475012034898599,0.6132762450339627,0.9200419308141567,0.5,0.6132762450339627,mcc,0.5
22,train,0.22872225595773496,,,,,,,,,,
22,val,0.2565002484175303,0.9239350912778904,0.9908151549942594,0.41739130434782606,0.6430844656113591,0.5661120282461292,0.9213996905106574,0.5,0.5661120282461292,mcc,0.5
23,train,0.22021216096689508,,,,,,,,,,
23,val,0.2523673343232268,0.9330628803245437,0.983926521239954,0.5478260869565217,0.7341802339913728,0.6361218630727656,0.9208855388608796,0.5,0.6361218630727656,mcc,0.5
24,train,0.22315561235638418,,,,,,,,,,
24,val,0.2757326393949272,0.9290060851926978,0.9919632606199771,0.45217391304347826,0.6697312215731791,0.6010481286526044,0.9187241052263766,0.5,0.6010481286526044,mcc,0.5
25,train,0.22017757902529322,,,,,,,,,,
25,val,0.24720982631430422,0.934077079107505,0.9827784156142365,0.5652173913043478,0.7453076225986817,0.6442080400930625,0.9210103329506315,0.5,0.6442080400930625,mcc,0.5
26,train,0.22994246718956232,,,,,,,,,,
26,val,0.26984431062263964,0.9279918864097363,0.9885189437428243,0.46956521739130436,0.6813032457826851,0.5968261257471009,0.9223381420655918,0.5,0.5968261257471009,mcc,0.5
27,train,0.2150032931599475,,,,,,,,,,
27,val,0.25543210162019875,0.9300202839756593,0.9758897818599311,0.5826086956521739,0.7540304190877839,0.6287825589509108,0.91960764738182,0.5,0.6287825589509108,mcc,0.5
28,train,0.21348780993877048,,,,,,,,,,
28,val,0.2430087777032209,0.9290060851926978,0.9885189437428243,0.4782608695652174,0.6875826711139057,0.6037867388231906,0.9219887186142864,0.5,0.6037867388231906,mcc,0.5
29,train,0.2156651273052529,,,,,,,,,,
29,val,0.254561457276707,0.9330628803245437,0.9758897818599311,0.6086956521739131,0.7707268434530411,0.6482966445853202,0.9225827384815055,0.5,0.6482966445853202,mcc,0.5
30,train,0.2046757962198405,,,,,,,,,,
